Reviewer,Name,URL,Complete Instructions,Comments,Setup Speed,Comments,Cost,Comments,Privacy,Comments,Theft Prevention,Comments,Loss Prevention,Comments,Safe Setup,Comments,Inheritance Safety,Comments,Spend Speed,Comments,Easy to Setup / Great UX
JW Weatherman,Yeti Bitcoin Wallet Level 3,YetiCold.com,5,Detailed walk through and video of every single click.,6 hours,Worst case scenario where you need to have someone else install Ubuntu for you and you need to buy all new hardware. And you struggle a lot and need to watch the video multiple times. Does not include coin flip time as those are not on the golden path or recommened by the guide.,$10,Guide recommends buying 2 laptops from Amazon or Walmart and returning them when completed. Cost is for 2 usb sticks and 7 CD-R disks.,5,"Generic hardware, full bitcoin node, all bitcoin transactions over Tor.",5,"Dedicated clean laptop, keys always on offline device, uses bitcoin core to generate all secrets, multisig makes theft difficult.",5,"7 keys geographically distributed in non-descript envelops in places like safety deposit boxes, accountants, lawyers with the ability to lose 4 without loss is very high loss prevention imo.",5,Many redundant steps. For example the user types in their seed words and then also restores their wallet twice using different seed words and they do practice send/receive at each step. Makes the process very long in exchange for a very high degree of safety.,5,Complete instructions are included with all seeds. No dependency outside bitcoin core. Seeds are stored in locations easily accessible by surviving family.,5 hours,"Longest time is waiting to re-sync the blockchain. If you keep a trustworthy copy of your .bitcoin folder this can be reduced to maybe 1 hour, but that is not the instructions in the guide for noobs.","Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Yeti Bitcoin Wallet Level 2,YetiCold.com,5,Detailed walk through and video of every single click.,2 hours,"No need to write down seed words, burn 7 cds and verify them and you are done. ",$7,Guide recommends using any cheap laptop with an SSD so you can use your daily driver or buy and return after setup. Cost is just in CDs.,5,"Generic hardware, full bitcoin node, all bitcoin transactions over Tor.",4,"Dedicaded clean laptop, but keys are on an online device in setup.",5,"7 keys geographically distributed in non-descript envelops in places like safety deposit boxes, accountants, lawyers with the ability to lose 4 without loss is very high loss prevention imo.",5,"Many redundant steps. For example the user types in their seed words and then also restores their wallet twice using different seed words and they do practice send/receive at each step. Makes the process longer, but since it is all on CDs it's still pretty snappy and gives a very high degree of safety.",5,Complete instructions are included with all seeds. No dependency outside bitcoin core. Seeds are stored in locations easily accessible by surviving family.,5 minutes,You can either choose to erase the laptop for greater security or keep it around for faster spending.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Yeti Bitcoin Wallet Level 1,YetiCold.com,5,Detailed walk through and video of every single click.,1 hour,"No need to write down seed words, burn 5 cds and verify them and you are done. ",$5,Guide recommends using any cheap laptop with an SSD so you can use your daily driver or buy and return after setup. Cost is just in CDs.,5,"Generic hardware, full bitcoin node, all bitcoin transactions over Tor.",3,"Dedicaded clean laptop, but keys are on an online device in setup and it is a single sig solution so theft of a single seed packet is theft of the bitcoin.",5,You have 5 copies and only one is needed to spend. Geographically distributed.,5,Many redundant steps. Dedicated laptop. Very safe.,5,Complete instructions are included with all seeds. No dependency outside bitcoin core. Seeds are stored in locations easily accessible by surviving family.,5 minutes,You can either choose to erase the laptop for greater security or keep it around for faster spending.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Cold Card Standard Setup,https://coldcardwallet.com/docs/quick,3,Lots of steps require the user accept the default without any confidence it is the right thing to do. ,1 hour,Even with the time required to buy a cold card and check the packaging I think a normal user could get this done in about an hour. This is partly because the golden path in electrum is very clear and normal users will rapidly click next without any obligation to make decisions.,$200,About $179 before shipping and taxes to buy a cold card.,1,The golden path will have people use electurm servers randomly selected. Also the golden path is to ship to your home address and use your real name. These records must be held by cold card by law for some time for the merchant to be compliant with government regulations.,1,"Malware infested laptop, single sig, random stranger's node, electrum rather than bitcoin core.",1,"Does not tell users to store multiple copies of seeds geographically distributed. Says ""you may want to make an extra copy"" of your seed words.",2,"It does ask you to enter your seed words, but it does not require that you verify the signatures on electrum. It also does not require a safe laptop so people could lose their bitcoin during the setup process in a variety of ways.",1,Does not use bitcoin core. Does not specify safe storage locations for family recovery. Only a single key.,5 minutes,Hardware wallets are a bit slower than a phone application.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Swan Bitcoin,swanbitcoin.com,5,,Instant,When you buy with a custodian there is no additional setup time.,Free,,2,"It's not great for privacy, but it is worse when you use the node of a less reputable company or a randomly selected node as with electrum. OTOH they have more than your IP address so it is still not great.",1,Custodians are trusted third parties that can steal your bitcoin.,3,Because they use your identify it isn't as easy to lose your bitcoin.,5,Setup is very easy and it would be very hard to lose your bitcoin in setup.,4,Established policies apply as long as the existence of your account or your bank transactions (available to your family) is known to your family.,2 minutes,"Very easy to send, but not as easy as a phone app with nothing more than a pin.","Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,BlueWallet on Daily Phone,https://bluewallet.io/,5,A non-tech user would be able to install blue wallet and write down their seed words.,15 minutes,As fast possible to install a wallet and write down seed words.,Free,Assumes you have an iphone or an android phone.,1,You are not using your own node,2,"A malicous update could steal your bitcoin, but you are not subject to supply chain risks from hardware devices.",1,"The instructions do have you hand write your seed words, but not to make multiple copies ond geogrphically distributed.",2,"The setup process is very clean, but with only a single sig and only a single paper backup there is a lot of room for user error.",1,Does not use bitcoin core. Does not specify safe storage locations for family recovery. Only a single key.,30 seconds,Hardware wallets are a bit slower than a phone application.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Trezor Standard Setup,https://trezor.io/,5,A non-tech user would be able to setup Trezor wallet and write down their seed words.,30 minutes,Pretty fast and easy.,$70,About $60 before shipping and taxes.,1,Not using your own node and used your home address to buy bitcoin hardware.,1,"Supply chain attacks, malicious updates and malware infested computer.",1,"The instructions do have you hand write your seed words, but not to make multiple copies ond geogrphically distributed.",1,Does not walk the user through a reasonably safe laptop setup.,1,Does not use bitcoin core. Does not specify safe storage locations for family recovery. Only a single key.,5 minutes,Hardware wallets are a bit slower than a phone application.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Ledger Nano S Standard Setup,https://www.ledger.com/start,5,,30 minutes,Pretty fast and easy.,$70,About $60 before shipping and taxes.,1,Not using your own node and used your home address to buy bitcoin hardware.,1,"Supply chain attacks, malicious updates and malware infested computer.",1,"The instructions do have you hand write your seed words, but not to make multiple copies ond geogrphically distributed.",1,Does not walk the user through a reasonably safe laptop setup.,1,Does not use bitcoin core. Does not specify safe storage locations for family recovery. Only a single key.,5 minutes,Hardware wallets are a bit slower than a phone application.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Cobo Vault with Daily Use Phone,https://support.cobo.com/hc/en-us/articles/360019127794-Setting-up-your-Cobo-Vault,5,Very nice setup process and very clean and easy.,1 hour,Requires buying a hardware device.,$200,Device is $170 before shipping and taxes.,1,Not using your own node and used your home address to buy bitcoin hardware.,3,"Does not use a malware infected laptop, but it is a daily use phone with only single sig.",1,Only a single sig and no instructions to make muliple copies of seed words and distribute geographically. Hopefully they will add these instructions as it is an easy fix.,2,"Very clean setup without a malware laptop, but with only a single paper seed backup there is a good chance users will mess it up.",1,Does not use bitcoin core. Does not specify safe storage locations for family recovery. Only a single key.,5 minutes,Hardware wallets are a bit slower than a phone application.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
JW Weatherman,Jade Preconfigured with Daily Use Phone 2 of 3,https://help.blockstream.com/hc/en-us/articles/900004040226,5,This is a review in progress. Still looking through docs to fully understand the mulitsig setup.,1 hour,Requires buying a hardware device.,$50,$40 before shipping and taxes.,2,Not using your own node and used your home address to buy bitcoin hardware.,3,Does not use a malware infected laptop. Uses a daily driver phone with blockstream green. A pin number that does not depend on a crap secure element. ,3,"Uses a 2 of 3 where 1 is held by the server and accessible via a pin number, one is on the Jade and one is on a paper backup. Instructions don't tell users to make mulitple copies of the paper seed and distribute geographically, but assuming the pin is not lost you can lose your jade or your paper and be ok. But if you put your pin in too many times that key is innaccesable. You can also wait 1 year and recover your bitcoin with only 1 key.",3,Very clean setup without a malware laptop.,2,"It is a reasonable 2 of 3, but does not use bitcoin core or specify safe locations for family recovery.",5 minutes,Hardware wallets are a bit slower than a phone application.,"Broken into complete instructions, setup speed, safe setup, inheritance safety, and spend speed because it is much clearer than combining all of this into a single bucket."
